gender,age,age_phys,age_psyc,DD1,DD2,DD3,DD4,DD5,DD6,DD7,FTP1,FTP2,FTP3,FTP4,FTP5,FTP6,FTP7,FTP8,FTP9,FTP10,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,DDT1,DDT2,DDT3,DDT4,DDT5,DDT6,DDT7,DDT8,DDT9,DDT10,minik1,minik2,minik3,minik4,minik5,minik6,minik7,minik8,minik9,minik10,minik11,minik12,minik13,minik14,minik15,minik16,minik17,minik18,minik19,minik20,SES1,SES2,SES3,health_phys,health_psyc,platform,FTP,minik,SES,ID,ss_count,k,mu,age_group,age_group1,ST1_sub,ST2_sub,ST3_sub,ST4_sub,ST5_sub,ST6_sub,ST7_sub,ST8_sub,ST9_sub,ST10_sub,alpha,beta
1,66,60,55,1,1,1,1,1,1,1,4,5,5,4,4,5,5,4,5,3,9.821170078,18.54441797,28.36336102,40.72556399,44.36451907,50.18150235,51.99875287,55.63548093,56.72672205,89.81805225,520,540,560,580,620,640,660,700,740,900,4,5,5,4,4,5,7,6,7,6,7,6,5,6,6,5,6,6,5,4,5,5,5,4,4,1,4.4,5.45,5,1,7,0.8,0.029050265,0,1,1.527959744,2.885106755,4.412720023,6.336009035,6.902151035,7.807146694,8.089871218,8.655666742,8.825440047,13.9737289,0.861381697,0.680577949
1,58,45,36,2,2,1,1,1,2,1,4,5,5,6,3,4,3,3,3,2,23.93603991,33.90864753,37.76585083,48.40433824,43.48484511,71.2758613,55.71788077,76.86123422,90.8246665,100,550,700,780,900,800,1600,1800,2000,2600,3500,5,6,7,6,5,5,7,7,6,6,7,6,6,6,7,6,5,5,4,5,3,4,5,4,5,1,3.8,5.85,4,2,4,0.015810018,0.03884851,0,1,3.723925472,5.275445593,5.875542255,7.53065874,6.765292963,11.08896862,8.668486359,11.95793076,14.13033611,15.55781778,2.269930866,0.470559461
2,56,50,50,2,2,1,1,1,2,1,4,5,7,7,3,5,7,5,6,4,21.59098501,39.13992384,54.6711801,63.38329288,63.63717346,77.39794669,70.83268379,84.09014988,90.40375921,100,550,600,700,800,900,1000,1200,1300,1500,2000,6,5,6,4,7,6,3,2,5,4,4,7,4,3,4,6,5,5,7,4,2,1,4,4,5,1,5.3,4.85,2.333333333,3,4,0.015810018,0.03884851,0,1,3.359086105,6.089318029,8.505642577,9.861057207,9.900555486,12.04143151,11.02001987,13.08259229,14.06485212,15.55781778,3.331644177,0.401877748
1,46,40,56,2,2,1,1,1,2,2,6,7,7,7,7,3,4,1,3,1,18.16805113,23.27016012,34.3674142,53.88281407,55.53971895,72.37823753,54.51974256,77.73422711,82.32634791,23.52626773,700,900,1000,1100,1200,1900,2600,3600,3500,4500,7,7,1,7,7,6,7,7,7,7,4,3,7,6,5,6,5,6,7,7,1,1,1,4,5,1,4.6,5.95,1,4,3,0.002888692,0.038558799,1,0,2.826552289,3.620329108,5.346819677,8.382990026,8.640768268,11.26047431,8.4820822,12.0937494,12.80818319,3.660173864,2.527615545,0.452853106
1,60,55,60,2,2,1,1,1,2,1,4,3,4,5,6,5,4,1,5,3,7.954925061,1.768256019,5.429481326,11.48921008,20.20132285,23.6108946,27.3990602,16.54009754,29.54591007,47.60038305,3000,6000,9000,12000,15000,21000,24000,30000,36000,100000,4,5,4,3,4,5,6,3,5,6,2,3,4,5,5,5,6,5,6,5,2,3,3,3,3,1,4,4.55,2.666666667,6,4,0.015810018,0.03884851,0,1,1.237612745,0.275102049,0.844708811,1.787470368,3.142884998,3.673339957,4.262695858,2.573278236,4.59669885,7.405580856,0.201204486,0.880512846
2,56,50,50,2,2,1,2,1,2,2,6,5,6,7,3,5,6,2,5,3,3.251453132,6.360376812,13.98347549,13.99906465,13.44676302,18.03888382,10.68525488,25.47268557,23.75342405,49.1169855,750,1000,1500,1000,1500,3000,2000,4000,3800,5000,5,6,5,5,5,4,6,6,6,6,7,7,4,3,4,5,5,5,4,5,3,3,3,4,4,1,4.8,5.15,3,7,2,8.79E-04,0.048216163,0,1,0.505855153,0.989535834,2.175523636,2.177948969,2.092022888,2.806456673,1.662392484,3.962994003,3.695514429,7.641531102,0.2189727,0.851109875
1,25,30,35,2,2,1,1,1,2,1,5,6,5,6,4,5,4,2,4,3,27.05164466,31.45669554,34.47653832,79.14393248,71.59432555,71.84597911,79.7741799,92.60851168,88.58205465,97.51464267,1000,1250,1500,2000,2500,5500,4500,5000,6000,10000,3,5,5,5,6,5,6,6,5,6,2,3,4,4,5,5,5,5,4,5,2,3,3,3,4,1,4.4,4.7,2.666666667,8,4,0.015810018,0.03884851,-1,-1,4.208645581,4.893975372,5.363797007,12.3130688,11.13851471,11.17766651,12.41112154,14.40786349,13.78143465,15.17115041,3.045612999,0.42690189
1,59,69,53,2,2,1,1,1,2,2,3,5,3,5,6,3,4,1,2,1,5.491837962,7.197737345,6.629846558,9.280003563,10.60508207,14.20395074,20.26590651,15.9076231,16.47774091,26.89352605,600,700,800,1000,1100,1200,1500,1600,2000,3000,2,3,3,6,3,5,5,7,6,4,6,7,5,3,3,4,4,4,3,3,5,5,4,4,3,1,3.3,4.3,4.666666667,9,3,0.002888692,0.038558799,0,1,0.854410143,1.11981086,1.031459446,1.443766044,1.649919343,2.209824773,3.152932806,2.474879014,2.563576904,4.184045776,0.39867374,0.562232055
1,56,50,40,2,2,1,1,1,2,2,6,6,7,7,7,6,6,2,6,4,22.19228114,3.302674654,27.75983787,48.88314812,71.48520143,32.98220609,69.18914104,94.1807897,98.91543995,100,1000,1200,1800,1500,2000,3000,2600,3500,4000,5000,5,5,6,7,3,6,7,7,7,7,7,7,5,2,5,7,4,6,7,5,5,4,4,4,5,1,5.7,5.75,4.333333333,10,3,0.002888692,0.038558799,0,1,3.45263466,0.513824104,4.318824992,7.605151108,11.12153738,5.131311522,10.76432048,14.65247564,15.3890839,15.55781778,1.895668043,0.546496558
1,68,68,40,2,2,2,2,2,2,2,5,6,6,7,7,7,7,1,6,2,9.830078168,13.55366011,21.79809812,37.35607866,44.27098412,57.16989956,48.12818743,72.1978487,62.49025678,86.95855511,800,1000,1200,1500,1800,1500,3000,3600,4800,6000,6,6,6,6,6,3,6,7,6,5,6,7,7,7,7,7,6,6,6,6,6,6,6,5,5,1,5.4,6.1,6,11,0,0.028393604,0,0,1,1.529345649,2.108653742,3.391308385,5.811790647,6.887599038,8.894388797,7.487695699,11.23240974,9.722120278,13.52885355,0.930112535,0.655379762
