Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,Item51,Item52,Item53,Item54,Item55,Item56,Item57,Item58,Item59,Item60,Item61,Item62,Item63,Item64,Item65,Item66,platform
1,66,60,55,1,1,1,1,1,1,1,4,5,5,4,4,5,5,4,3,5,47058,50975,55384,60935,62569,65181,65997,67630,68120,82979,520,540,560,580,620,640,660,700,740,900,4,5,5,4,4,5,7,6,7,6,7,6,5,6,6,5,6,6,5,4,5,5,5,4,4,1
1,58,45,36,2,2,1,1,1,2,1,4,5,5,6,3,4,3,5,5,6,53396,57874,59606,64383,62174,74653,67667,77161,83431,87551,550,700,780,900,800,1600,1800,2000,2600,3500,5,6,7,6,5,5,7,7,6,6,7,6,6,6,7,6,5,5,4,5,3,4,5,4,5,1
2,56,50,50,2,2,1,1,1,2,1,4,5,7,7,3,5,7,3,2,4,52343,60223,67197,71109,71223,77402,74454,80407,83242,87551,550,600,700,800,900,1000,1200,1300,1500,2000,6,5,6,4,7,6,3,2,5,4,4,7,4,3,4,6,5,5,7,4,2,1,4,4,5,1
1,46,40,56,2,2,1,1,1,2,2,6,7,7,7,7,3,4,7,5,7,50806,53097,58080,66843,67587,75148,67129,77553,79615,53212,700,900,1000,1100,1200,1900,2600,3600,3500,4500,7,7,1,7,7,6,7,7,7,7,4,3,7,6,5,6,5,6,7,7,1,1,1,4,5,1
2,59,45,38,2,2,2,2,1,2,2,5,4,5,7,4,4,4,3,4,4,50686,47795,57150,53068,59871,61232,52898,62252,60211,69226,1800,4000,6000,6000,1000,1500,2000,2500,6000,10000,2,7,2,2,1,4,6,3,7,7,4,3,2,1,3,4,1,3,4,3,1,1,1,5,5,1
1,60,55,60,2,2,1,1,1,2,1,4,3,4,5,6,5,4,7,3,5,46220,43442,45086,47807,51719,53250,54951,50075,55915,64022,3000,6000,9000,12000,15000,21000,24000,30000,36000,100000,4,5,4,3,4,5,6,3,5,6,2,3,4,5,5,5,6,5,6,5,2,3,3,3,3,1
2,56,50,50,2,2,1,2,1,2,2,6,5,6,7,3,5,6,6,3,5,44108,45504,48927,48934,48686,50748,47446,54086,53314,64703,750,1000,1500,1000,1500,3000,2000,4000,3800,5000,5,6,5,5,5,4,6,6,6,6,7,7,4,3,4,5,5,5,4,5,3,3,3,4,4,1
1,25,30,35,2,2,1,1,1,2,1,5,6,5,6,4,5,4,6,4,5,54795,56773,58129,78186,74796,74909,78469,84232,82424,86435,1000,1250,1500,2000,2500,5500,4500,5000,6000,10000,3,5,5,5,6,5,6,6,5,6,2,3,4,4,5,5,5,5,4,5,2,3,3,3,4,1
1,59,69,53,2,2,1,1,1,2,2,3,5,3,5,6,3,4,7,6,7,45114,45880,45625,46815,47410,49026,51748,49791,50047,54724,600,700,800,1000,1100,1200,1500,1600,2000,3000,2,3,3,6,3,5,5,7,6,4,6,7,5,3,3,4,4,4,3,3,5,5,4,4,3,1
1,56,50,40,2,2,1,1,1,2,2,6,6,7,7,7,6,6,6,2,4,52613,44131,55113,64598,74747,57458,73716,84938,87064,87551,1000,1200,1800,1500,2000,3000,2600,3500,4000,5000,5,5,6,7,3,6,7,7,7,7,7,7,5,2,5,7,4,6,7,5,5,4,4,4,5,1
1,68,68,40,2,2,2,2,2,2,2,5,6,6,7,7,7,7,7,2,6,47062,48734,52436,59422,62527,68319,64259,75067,70708,81695,800,1000,1200,1500,1800,1500,3000,3600,4800,6000,6,6,6,6,6,3,6,7,6,5,6,7,7,7,7,7,6,6,6,6,6,6,6,5,5,1
1,57,50,40,2,2,1,1,1,2,2,5,5,6,5,5,6,5,3,2,3,46603,50784,53156,56659,59711,67508,69655,69768,71802,79146,700,800,1000,1400,1800,2500,2800,3400,4100,6800,5,5,6,6,6,6,6,6,6,6,6,6,5,5,4,6,6,6,5,5,6,6,6,4,4,1
1,57,55,55,2,2,2,2,2,2,2,7,7,6,7,6,6,6,1,1,1,49792,49565,49622,49451,48771,54044,54214,50585,49735,49338,600,600,650,1500,700,1300,1500,1800,1900,2000,6,6,6,6,6,2,6,7,6,6,6,6,6,6,7,6,7,6,7,7,6,7,6,4,4,1
1,58,55,50,2,2,1,2,1,2,2,4,3,3,4,2,2,3,5,6,5,52025,71690,59956,64618,68904,77692,80746,55562,83532,86319,750,1000,1200,1500,1700,2200,2500,3000,3500,5500,4,5,6,4,2,5,6,7,7,5,5,6,5,5,6,5,6,6,3,4,2,1,2,3,4,1
2,60,50,40,2,2,1,1,1,1,1,5,5,4,5,5,5,5,3,4,4,45583,49251,56588,52186,58936,62752,52920,64366,69062,75518,550,700,700,600,650,700,2000,1000,3000,3000,5,4,6,4,7,7,5,7,7,5,7,7,4,2,4,6,4,7,7,6,5,5,4,4,4,1
2,58,55,50,2,2,1,1,1,1,1,4,3,5,4,5,6,4,7,6,6,47241,48515,49112,49792,47836,55830,58211,61188,62718,68841,800,600,900,700,1100,1000,1000,1200,1500,2500,5,6,4,4,5,5,7,6,6,5,7,1,7,6,6,4,5,5,4,3,6,4,4,4,4,1
1,62,62,50,2,2,1,1,1,2,2,6,6,6,4,6,5,4,7,3,6,46220,49622,50075,51493,56765,56709,57729,60450,61414,76949,1500,3888,5000,7000,8000,12000,15000,17000,20000,50000,5,6,6,7,5,6,7,7,7,7,7,7,7,7,6,7,7,7,6,6,3,3,3,4,5,1
1,56,45,30,2,2,1,1,1,2,2,6,7,4,4,3,5,5,4,5,5,45823,47184,51889,55348,57843,59997,61811,62095,64419,72470,1500,2000,3000,5000,6500,7500,8500,9000,10000,20000,5,5,6,7,7,5,7,7,7,7,6,7,7,7,7,7,7,7,5,5,5,5,5,5,5,1
1,52,40,35,2,2,1,1,1,2,2,6,6,4,5,5,6,6,4,3,4,48261,49111,52626,54611,54328,58296,58806,59883,60507,64022,1500,2000,2500,3000,2000,5000,6000,7000,8500,10000,6,6,5,7,7,5,7,7,7,7,6,6,7,7,7,6,6,7,5,5,4,4,4,5,5,1
2,23,26,25,2,2,1,2,1,2,1,5,6,6,5,2,3,3,5,3,5,69081,65184,68856,69025,74165,76650,78006,78683,77332,81682,600,600,650,800,850,1000,1050,1200,2000,3000,3,5,5,4,5,6,6,6,6,6,7,7,7,7,6,6,6,6,3,3,3,3,5,4,4,1
1,58,50,60,2,2,1,1,1,2,1,5,5,6,7,6,4,5,5,4,6,52727,54428,78921,66164,83343,75519,85554,83343,86065,84704,3000,5000,8000,9000,12000,10000,13000,20000,20000,100000,5,6,4,4,6,5,7,3,3,6,2,2,5,5,6,5,6,7,7,5,3,2,3,4,3,1
1,56,45,50,2,2,1,1,1,1,2,3,3,3,4,2,4,5,5,6,5,42648,47968,54382,55008,56573,70184,71906,73000,76599,87551,520,800,1000,1250,1500,3000,3500,4500,5000,10000,4,4,4,5,6,7,7,7,7,7,4,4,4,5,5,6,4,5,4,6,3,3,5,4,5,1
1,57,57,40,2,2,1,1,1,2,1,3,3,3,2,2,3,2,5,4,5,50649,46567,56364,49996,62406,61426,53261,44607,70080,69263,1000,2000,2500,2600,2800,3000,4000,4600,4500,5000,4,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,6,2,2,2,3,4,1
1,39,35,45,2,2,1,1,1,2,2,6,7,5,6,6,5,6,2,3,3,47799,49498,50404,51197,56819,58840,61218,67729,66200,80580,800,900,1200,1000,1600,1800,2100,2500,2500,3500,5,6,5,6,5,5,7,6,7,7,7,5,6,5,6,5,5,6,5,6,3,2,3,4,5,1
1,31,25,35,2,2,1,1,1,2,2,5,6,5,7,6,6,7,2,3,2,48375,52342,54769,58352,66290,70883,73874,68671,76042,85113,650,800,950,1100,1250,1550,1700,2000,2300,3500,6,7,5,6,7,5,5,5,6,7,1,5,5,5,6,6,7,6,5,5,5,6,7,5,4,1
2,60,65,60,2,2,1,1,1,1,1,5,4,5,5,5,5,5,3,4,6,51857,54174,55304,52083,54795,51744,62197,56603,54513,58750,600,1000,800,900,800,1200,1000,900,1000,1300,5,4,5,6,5,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,2,1,1,5,5,1
2,56,46,40,2,2,1,1,1,2,2,6,4,7,7,4,7,7,1,1,5,46390,47496,49877,49961,52938,54214,59657,53958,72798,63823,600,540,740,540,560,760,680,800,600,860,4,4,6,7,7,6,7,7,7,7,7,7,7,7,5,7,4,4,7,7,5,5,5,5,5,1
2,65,30,20,2,2,1,1,1,1,1,4,3,6,2,5,2,2,6,6,7,47220,48364,49180,48363,53588,50975,48200,48036,60283,61426,600,1000,1200,1000,1500,2000,2200,3000,3000,5000,3,2,3,3,3,5,6,6,7,4,7,7,7,3,4,5,4,4,3,2,2,2,1,4,4,1
1,57,60,35,2,2,1,2,1,2,2,5,4,5,6,5,4,5,3,2,3,49496,52727,63103,52727,76710,68886,74158,72628,70587,77220,1500,2500,2500,3600,2560,5000,10000,15000,17000,50000,5,7,6,6,5,5,7,7,7,4,4,6,7,5,6,5,4,5,6,5,4,4,4,3,4,1
1,56,50,45,2,2,1,1,1,2,1,5,4,5,5,3,2,3,5,3,5,47273,50648,59599,66202,67376,77061,73246,81023,78382,87551,1000,1500,2000,2000,2000,4500,5000,6000,10000,50000,5,6,4,5,6,5,5,5,6,6,5,6,5,6,6,5,5,5,3,3,2,1,1,3,4,1
2,27,27,30,2,2,1,1,1,2,1,7,6,6,7,6,7,6,2,1,2,46376,50527,52646,55441,58999,61795,66370,70437,75521,83400,550,600,650,750,800,900,950,1100,1300,2600,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,7,6,6,7,6,7,6,5,4,1
2,26,20,30,2,2,1,1,1,2,2,7,6,7,7,5,7,7,2,1,1,47197,50425,53654,52480,59670,62752,64072,70529,75371,87551,1500,4000,5000,6000,7000,10000,20000,25000,20000,50000,7,6,7,7,7,5,7,7,6,6,7,7,6,7,7,7,6,7,6,7,6,7,7,5,4,1
1,23,25,28,2,2,1,1,1,2,1,7,4,5,6,2,5,7,1,2,4,46832,49991,55921,60553,70437,72922,73289,76689,79700,84670,2000,3000,3500,5000,4000,8000,9500,10000,15000,30000,2,7,4,6,3,1,7,6,5,7,7,5,3,2,2,5,5,6,4,2,4,3,5,4,5,1
2,30,25,25,2,2,1,1,1,1,2,5,5,6,6,3,5,3,5,3,5,49369,47822,51399,54912,57594,56253,59574,64109,66473,70944,1000,1000,1250,1500,1500,3000,4000,2000,5000,6000,4,5,5,5,4,4,5,7,5,5,7,7,6,5,5,6,5,6,5,4,4,4,3,4,4,1
2,29,29,32,2,2,1,1,1,2,1,7,6,7,6,7,6,7,2,1,2,42648,46122,48663,50188,55950,60525,67218,70522,74334,83273,550,600,650,700,750,850,900,1000,1200,2400,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,4,5,1
2,29,31,29,2,2,1,1,1,2,1,6,6,5,6,5,5,6,4,2,5,47549,54753,53523,55848,56222,60502,62705,63093,63595,72960,530,560,580,600,650,700,720,760,820,1000,5,5,5,6,6,5,7,7,7,6,6,6,5,5,6,5,5,6,6,5,5,5,6,5,5,1
1,29,32,29,2,2,1,1,1,2,1,6,6,5,5,5,5,6,3,2,5,44194,47387,52302,51744,56286,53566,56342,64761,65657,73080,530,560,580,600,650,710,730,770,830,1080,5,6,5,5,6,5,6,6,7,6,6,5,6,6,5,5,5,6,6,6,5,5,6,5,5,1
2,32,29,30,2,2,1,1,1,2,2,6,5,5,6,5,6,6,3,2,4,46221,49112,50046,53533,51068,55830,60167,63059,67907,78453,550,600,800,900,950,1000,1100,1200,1300,1500,5,6,5,5,5,4,7,7,7,6,5,6,6,5,6,6,5,6,5,5,4,5,4,4,4,1
2,33,30,27,2,2,1,1,1,2,2,6,5,5,6,5,6,6,3,2,4,45424,46783,48029,50522,52617,58170,58848,64569,69214,77937,600,650,700,800,900,1000,1100,1300,1400,1800,5,6,5,5,5,4,7,7,7,6,5,6,6,5,6,6,5,6,5,5,4,5,4,4,4,1
2,27,27,30,2,2,1,1,1,2,1,5,7,7,5,4,6,6,2,1,3,57310,68307,74569,73348,80984,79151,79151,84955,85413,87551,1500,3000,4500,10000,11500,18000,20000,23000,30000,50000,5,5,6,7,6,4,6,6,7,6,7,7,5,6,6,5,6,5,5,6,4,5,5,5,5,1
2,30,29,31,1,2,1,1,1,1,1,6,5,5,6,5,6,5,3,3,4,47064,49747,52855,53843,66522,67676,74430,71708,77977,81959,300,600,800,1000,900,900,1200,1300,1400,1500,6,5,6,6,5,4,6,5,6,6,7,5,5,6,5,5,4,4,6,4,4,5,3,5,5,1
2,27,27,29,2,2,1,1,1,1,1,6,6,5,7,4,5,6,2,2,3,57768,67390,67696,73347,81595,75333,79915,81136,82358,87551,1500,3000,4500,10000,13000,18000,20000,24000,30000,50000,5,7,7,6,5,4,6,6,7,7,6,5,5,6,5,6,6,7,6,5,5,4,5,5,5,1
1,29,29,29,2,2,1,1,1,2,2,5,6,5,5,6,6,5,3,2,3,45005,49189,52879,53314,56614,58407,64427,70874,73467,81717,600,700,800,850,900,1000,1200,1300,1400,1500,5,5,5,7,5,4,5,6,5,6,5,6,5,5,6,5,6,6,5,5,5,6,6,4,4,1
